"","type","hours","AsPct"
"1","Administrative and support",190210542150.843,25.3
"2","Social service and care",176737021709.136,23.5
"3","Maintenance, building, and cleanup",49149792099.7801,6.5
"4","Performing and cultural activities",60443838535.7635,8
"5","Meetings, conferences, and training",52200639631.9648,6.9
"6","Public health and safety",7711757960.98305,1
"7","Waiting",545665577.119168,0.1
"8","Security procedures",242793266.657977,0
"9","Travel",85270384106.3054,11.3
"10","Other",130216740639.777,17.3
"11","Total",752729175678.33,100
